Primary_Name,X,Y,Z,Geog_certainty,Occ_Date_U,Occ_Date_L,Occ_Date_Cert
Fregellae,13.538889,41.536667,124,certain,-328,-125,High
Fregenae,12.198099,41.8558992,12,uncertain,-245,999,Low
Frigento,15.100624,41.012349,907,certain,-400,500,Medium
Frusino,13.351922,41.64016,283,certain,-800,500,High
Fundi,13.427922,41.357429,16,certain,-275,500,High
Furfo,13.5798722,42.3036472,814,certain,-200,500,Low
Gabii,12.719727,41.887373,72,certain,-900,500,High
Gallese,12.4028944,42.3728389,135,certain,-700,-250,Medium
Genusia,16.7829417,40.5476222,119,likely,-100,400,Medium
Ginosa,16.7604417,40.5812861,240,certain,-800,-300,Medium
Graviscae,11.710278,42.212778,3,certain,-600,408,Medium
Grotta Porciosa,12.4308444,42.3502694,103,certain,-350,-200,Medium
Hatria ,13.981081,42.5802,460,certain,-290,500,Medium
Herculaneum ,14.348058,40.805843,18,certain,-9999,79,Low
Herdoniae ,15.6205806,41.3103944,126,certain,-600,400,High
Histonium,14.709616,42.112716,150,certain,-150,500,High
Horta,12.386423,42.460326,134,certain,-550,400,Medium
Hortona ,14.405203,42.356904,65,certain,-1500,500,High
Interamna Lirenas  ,13.787207,41.44039,67,certain,-312,500,Medium
Interamna Nahars,12.646763,42.560247,130,certain,-900,500,Medium
Iuvanum,14.249302,41.997644,977,certain,-90,500,High
La Giostra,12.571602,41.777825,150,certain,-325,-250,High
La Giurlanda,13.6925889,42.05825,1187,certain,-,-,-
La Rocca1,14.6426306,41.5070194,1000,certain,-343,-290,Low
La Rocca2,14.3042194,41.2698722,375,certain,-325,-200,Medium
La Romana,14.187375,41.6237444,882,certain,-300,-200,High
Lanuvium,12.697593,41.674703,327,certain,-900,500,Medium
Larinum,14.919231,41.807133,476,certain,-600,500,Medium
Lavinium,12.480199,41.663939,90,certain,-750,500,High
Le Murella,12.9926889,41.592175,455,certain,-600,-100,Medium
Lecce Vecchio,13.6840528,41.8866583,1278,certain,-,-,-
Ligures Baebiani ,14.811051,41.319407,581,certain,-180,400,Low
Liternum,14.029821,40.921259,10,certain,-194,500,Medium
Luceria ,15.335065,41.508065,241,certain,-400,500,Medium
Lucus Feroniae ,12.596872,42.129717,53,certain,-300,300,Medium
Luni sul Mignone,11.931643,42.22311,100,certain,-1500,-200,Medium
Magliano Sabina,12.481392,42.362352,232,certain,-750,-300,High
Maratta Bassa,12.5982417,42.5683167,109,certain,-800,-200,Medium
Marruvium,13.6240389,42.0045583,680,certain,-25,400,High
Mesula ,13.6521944,41.9386778,782,certain,-9999,0,Low
Minturnae,13.768185,41.241973,9,certain,-296,500,High
Misenum,14.084884,40.786279,4,certain,0,500,Medium
Montagna di Gildone,14.7590833,41.4934222,902,certain,-350,-250,Medium
Monte Acero,14.491642,41.258879,736,certain,-325,-300,Low
Monte Alifano,14.4053611,41.1604306,264,certain,-320,-100,High
Monte Boscone,16.2375583,40.5243361,786,certain,-325,-200,Low
Monte Casoli,12.2421083,42.50115,166,certain,-700,-200,Low
Monte Castellone1,14.131545,41.445348,420,certain,-343,-290,Low
Monte Castellone2,14.324348,41.130621,405,certain,-325,-250,Medium
Monte Castellone3,13.6911833,42.2631639,927,certain,-,-,-
Monte Cavallerizzo,14.271298,41.798967,1524,certain,-343,-290,Low
Monte Cila,14.3655111,41.3651583,677,certain,-343,-290,Low
Monte Civitella,13.7204222,41.9892,1310,certain,-,-,-
Monte Crocella,14.4612306,41.4743611,1040,certain,-343,-100,Medium
Monte Decoro,14.4209389,41.0325806,296,certain,-400,-250,Medium
Monte di Cerro,13.5091167,42.2936639,754,certain,-1000,200,Medium
Monte Ferrante,14.2940333,41.7092667,1051,certain,-350,-100,Medium
Monte Frontino,13.246925,42.207525,1167,certain,-700,-50,Medium
Monte Irsi,16.319382,40.72058,485,certain,-725,-220,Medium
Monte Miglio,14.2116444,41.7788639,1350,certain,-343,-290,Low
Monte Nero,13.4539639,41.5119917,268,certain,-600,-100,Low
Monte Praticelle,13.6144361,41.9406167,911,certain,-,-,-
Monte Pugliano,14.5145972,41.228575,213,certain,-343,-290,Low
Monte Rocca l'Abate,14.3934722,41.8487889,1200,certain,-350,-100,Medium
Monte Rovello,11.8861056,42.1753889,370,certain,-1000,-200,Medium
Monte San Felice ,13.3771833,42.0491194,1030,certain,-900,-300,Unconfirmed
Monte San Giovanni,14.9759306,41.6007472,621,certain,-400,500,High
Monte San Nicola1,14.1807278,41.3371528,450,certain,-343,-290,Low
Monte San Nicola2,14.3145361,41.8482861,1517,certain,-343,-290,Low
Monte San Nicola3,13.3332528,42.0744361,1078,certain,-800,-300,Medium
Monte San Paolo,14.1055722,41.5870167,673,certain,-343,-290,Low
Monte Santa Croce1,13.9706972,41.2956111,1000,certain,-,-,-
Monte Santa Croce2,14.0336444,41.4929361,1001,certain,-325,-275,Medium
Monte Santa Croce3,14.323075,41.1843306,580,certain,-320,-180,High
Monte Santa Croce4,14.0936944,41.66905,1124,certain,-343,-290,Low
Monte Santa Trinit?,16.8579972,40.6247722,417,certain,-600,-200,Low
Monte Sant'Angelo ,14.120124,41.323902,465,certain,-343,-290,Low
Monte Sant'Angelo Palomba,14.4825639,40.9972806,679,certain,-425,-300,High
Monte Sant'Antonio,14.65681,41.562732,792,certain,-350,-100,Medium
Monte Saraceno di Cercemaggiore,14.7365278,41.4553,1086,certain,-450,-150,High
Monte Urano,13.7830972,42.1014389,1081,certain,-600,-300,Low
Monte Vairano,14.595417,41.548915,997,certain,-400,500,High
Montenerodomo,14.252025,41.9771889,1198,certain,-343,-290,Low
Monterano,12.0766194,42.1336417,266,certain,-633,-350,Medium
Montescaglioso,16.667984,40.553392,364,certain,-375,-300,High
Montrone,15.9849722,40.7654,764,certain,-350,-275,High
Morcone,14.6631944,41.341025,702,certain,-350,-50,Medium
Musarna,11.9760528,42.4118861,175,certain,-325,500,High
Narnia ,12.5156299,42.5176022,332,certain,-1100,500,Medium
Nazzano Romano,12.5970639,42.2313306,231,certain,-750,400,Medium
Neapolis ,14.2580694,40.8508972,61,certain,-470,500,High
Nepet ,12.346563,42.244061,225,certain,-700,500,High
Nersae,13.1769333,42.1937917,855,certain,-290,999,Low
Nola,14.520526,40.927771,36,certain,-800,450,Medium
Nomentum,12.6470167,42.0218694,190,certain,-800,500,Low
Norba1,12.960278,41.591667,450,certain,-800,-82,High
Nuceria1,14.6631778,40.7415778,63,certain,-600,500,High
Ocriculum,12.46628,42.413613,207,certain,-700,500,Medium
Olevano Romano,13.0305917,41.8599528,573,certain,-,-,-
Oppidovetere ,15.1842444,40.8270333,1034,certain,-350,-250,Medium
Orcla ,11.94627,42.338965,160,certain,-500,50,Medium
Ortona dei Marsi,13.7271556,41.9970583,1003,certain,-,-,-
Ostia,12.287656,41.754855,2,certain,-340,500,High
Paestum,15.005569,40.422631,18,certain,-625,500,High
Pallanum,14.3937,42.0310806,1020,certain,-325,100,High
Pantaleno,16.1007056,40.5302167,742,certain,-,-,-
Parthenope,14.2467889,40.8330278,60,certain,-700,-300,Medium
Peltuinum,13.624085,42.28313,872,certain,-700,350,Medium
Pinna Vestinorum,13.927488,42.457647,432,certain,-600,500,High
Poggio Castelsecco,11.9045806,42.0479306,121,certain,-700,0,Low
Poggio Evangelista,11.7632722,42.6088167,551,certain,-525,-275,High
Pomarico Vecchio,16.5769694,40.4652667,418,certain,-350,-225,High
Pompeii,14.485429,40.74941,42,certain,-600,79,High
Pontecagnano,14.8838722,40.6460056,46,certain,-725,79,High
Potentia1,15.802241,40.637258,819,certain,-350,500,High
Praeneste,12.89207,41.839064,752,certain,-800,500,High
Privernum,13.187599,41.489943,35,certain,-125,500,High
Punta Penna,14.714246,42.17132,20,certain,-250,500,Medium
Puteoli ,14.121614,40.823719,30,certain,-194,500,High
Pyrgi,11.9587944,42.0164583,9,certain,-750,500,Medium
Quota 1052m,13.6347472,42.2504278,1052,certain,-900,-90,Low
Raia San Basile,15.5057111,40.717225,449,certain,-325,-250,High
Reate,12.861183,42.403067,400,certain,-700,500,Medium
Rocca Vecchia,13.6683778,42.0279139,942,certain,-,-,-
Rocca1,14.5053833,41.2389583,258,certain,-300,0,Low
Rocca2,14.1116361,41.7906639,1004,certain,-343,-290,Low
Roccasecca,13.6578833,41.5547,170,certain,-300,300,Medium
Roma,12.4864917,41.8925389,22,certain,-1000,500,High
Rotale,13.6618278,41.9788778,1036,certain,-600,-200,Medium
Rotella di Collalto,13.3655778,41.9982278,868,certain,-700,-300,Unconfirmed
Rubi,16.485161,41.118427,260,certain,-700,500,Medium
Rufrae ,14.078067,41.376142,370,certain,-600,500,High
Rupecanina,14.2515611,41.3645056,508,certain,-343,-290,Low
Saepinum,14.617408,41.43315,555,certain,-200,500,High
Salapia ,15.987731,41.403731,1,certain,-100,100,Low
Salapia Vetus,15.932012,41.393416,5,certain,-1000,-50,Medium
Salernum ,14.765922,40.677988,110,certain,-194,500,Medium
San Giovenale,11.9980056,42.2242,165,certain,-700,-250,High
San Giuliano,12.0755444,42.2602389,338,certain,-1000,0,Low
San Pasquale,14.4783056,41.2823056,418,certain,-330,-300,Medium
San Salvatore,16.4921,40.655175,443,certain,-400,-175,Medium
Santa Maria dei Vignali,14.3177917,41.6815611,948,certain,-343,-290,Low
Sant'Eustachio,13.9623444,41.4561472,574,certain,-343,-290,Low
Santo Mola,16.9056389,40.7922361,368,uncertain,-700,-200,Medium
Saticula ,14.5296778,41.1072972,250,uncertain,-700,-100,Medium
Satricum,12.746396,41.519633,39,certain,-900,-300,High
Selva del Monaco,14.1218833,41.8171111,1164,certain,-343,-290,Low
Serra del Carpine,15.9283861,40.7254917,853,certain,-600,-300,High
Serra di Cedro,16.1751917,40.6328028,860,certain,-350,-275,High
Serra di Fagato,15.4752528,40.6792778,869,certain,-400,-300,Unconfirmed
Serra di Vaglio,15.8962722,40.675175,1092,certain,-800,-240,Medium
Serra Guardiola,14.7776667,41.794025,669,certain,-,-,-
Serro dell'Incoronata,15.5301111,40.9950194,732,certain,-343,-290,Low
Setia,13.058914,41.498686,319,certain,-500,100,Low
Signia,13.022225,41.691453,672,certain,-600,500,High
Silvium ,16.3969722,40.8195389,446,certain,-1000,-150,High
Sinuessa ,13.8457917,41.1555389,4,certain,-296,500,High
Sipontum ,15.8897665,41.6084823,13,certain,-194,500,High
Sora,13.6148556,41.72265,546,certain,-600,500,Medium
Sorrina ,12.104818,42.417376,347,certain,-600,400,Medium
Stabiae,14.5004028,40.7045611,46,certain,-600,79,Medium
Statonia,12.26835,42.509942,187,certain,-700,500,High
Suessa Aurunca,13.930692,41.234601,200,certain,-337,200,Low
Suessula,14.398876,40.990548,30,certain,-800,500,High
Sulmo,13.925673,42.046817,415,certain,-350,500,Medium
Superaequum,13.7287389,42.1258417,490,certain,-50,500,Low
Surrentum,14.3716917,40.6262389,60,certain,-550,500,High
Sutrium,12.220462,42.242794,291,certain,-700,500,High
Tarquinia ,11.795556,42.262778,170,certain,-1000,500,High
Tarracina ,13.24885,41.291169,22,certain,-600,500,Low
Teanum Apulum,15.242525,41.774275,190,certain,-900,400,Medium
Teanum Sidicinum,14.072625,41.248206,208,certain,-600,500,High
Teate,14.1651389,42.3480167,343,certain,-350,500,Low
Telesia,14.503278,41.223736,68,certain,-450,500,Medium
Tempa San Nicola,16.2243722,40.5469972,471,certain,-325,-250,High
Terravecchia di Sepino,14.600275,41.413173,953,certain,-350,-50,Medium
Terventum,14.5506361,41.7850028,604,certain,-50,500,Medium
Tibur,12.79818,41.963602,240,certain,-900,500,High
Toppa Santa Barbara,14.8783194,41.2721083,522,certain,-343,-290,Low
Torre di Satriano,15.6384361,40.5694389,957,certain,-725,-200,High
Torre d'Ischia,12.1083278,42.1892056,368,certain,-,-,-
Torretta,15.8196028,40.7858056,1071,certain,-350,-200,High
Treba,13.248674,41.862464,804,certain,-350,0,Low
Trebula,14.2815694,41.9145306,690,certain,-200,500,Low
Trebula Balliniensium ,14.26085,41.2260778,477,certain,-400,500,Medium
Trebula Mutuesca ,12.867802,42.228053,502,certain,-300,999,Low
Trebula Suffenas ,12.9413028,41.9620306,619,certain,-400,200,Low
Tuscana,11.8786806,42.413,176,certain,-700,500,High
Tusculum,12.709916,41.798322,670,certain,-800,500,High
Vallo di San Nicola,13.6731361,42.0012861,988,uncertain,-500,-100,Medium
Varia,12.8923611,42.0153694,333,certain,-9999,500,Low
Veii,12.390519,42.021338,117,certain,-900,300,High
Velitrae,12.77721,41.687426,400,certain,-800,500,High
Venafrum,14.046066,41.484488,210,certain,-270,500,Medium
Venusia,15.827406,40.969056,415,certain,-350,500,High
Verulae,13.417284,41.69053,672,certain,-700,500,High
Vibinum ,15.342222,41.250962,647,certain,-75,400,Medium
Vicalvi,13.7139639,41.6817222,572,certain,-800,-300,Medium
Vico,13.6822722,41.9693778,953,certain,-600,100,Medium
Vignanello,12.27716,42.383575,369,certain,-725,-200,Medium
Visentium,11.8740361,42.5733583,397,certain,-400,500,Low
Volcei,15.379029,40.633914,663,certain,-325,500,High
Volsinii,11.986114,42.644852,522,certain,-250,500,High
Volturnum,13.941734,41.033657,2,certain,-194,500,Medium
Vulci,11.628128,42.419129,75,certain,-950,500,High
